Key	Content	Handle
LXDGM_ArmourDamagePass	Armour penetration	heace2e30g4075g428cg8163g3fc8eff9323b
LXDGM_ArmourDamagePass_Description	Set the percentage of damage going through armours.<br>Default : 50	h8271feceg6b6cg470cg8c8fg5de1ee77a76b
LXDGM_ArmourDamagePassDepleted	Last armour penetration	h39ded39fg40a6g46a1gafe4gbaf448e4f20a
LXDGM_ArmourDamagePassDepleted_Description	Set the percentage of damage going through armour when one type of armour is depleted. Additive to the first value.<br>Default : 25	hf2c55a59ge06dg4e77g8d04g69f9ea668541
LXDGM_ArmourReductionMultiplier	Armour Damage Multiplier	h7bcfac6eg76a6g4ccega83bg2ff334058ccc
LXDGM_ArmourReductionMultiplier_Description	Apply a multiplier to all Corrosive and Magic damage. <br>Default : 100	h579e2544g8e6cg4bbdg92a1g5598996b8f7b
LXDGM_AttributeCap	Attributes Soft Cap	hcd0b98f8g6ce9g454cg880cgb0358ed18328
LXDGM_AttributeCap_Description	The number of points you can invest in an attribute. Doesn't concern bonuses from statuses and equipment.<br>Default : 40	h6516d420gee6dg45ccgb315gd94c2d8b3bc5
LXDGM_BackstabCritChanceBonus	Crit. Chance Backstab Bonus	h5181573egec45g4adcgb6d2g6b8d856c3b4f
LXDGM_BackstabCritChanceBonus_Description	The damage bonus provided per Critical Chance percent when backstabbing. <br>Default : 0.5<br>	haee8a8d1g10e8g491ag83c8g833c3a4d0fbb
LXDGM_BaseAccuracy	Base Accuracy	h757f2c61g6620g4134ga7efgd7db36630de5
LXDGM_BaseAccuracy_Description	Default : 90<br><font color=#ff0000>Require a game restart</font>	he8315150gd40cg453dg911bgef5e2cd5ef74
LXDGM_CCParryDuration	CC Recover Duration	h80149363gb072g4531gae22gf187147b9c44
LXDGM_CCParryDuration_Description	The duration of Momentum and Lingering when they are triggered. <br>Default : 2<br>	hdef2f1beg2fc7g4a22gab9eg29c2f0694e4d
LXDGM_CQBPenalty	CQB Ranged Combat Penalty	h0c972945g2320g4a0agbfebg86667bcf4c7b
LXDGM_CQBPenaltyRange	CQB Range Threshold	h2cfe726egc70bg459cgb8b8gc2442ce7b9ea
LXDGM_CQBPenaltyRange_Description	Set the target distance threshold which defines when do ranged weapons gets a penalty.<br>Default : 2<br>	h19525dddg3cadg4699g94d2g342b1192a332
LXDGM_CrossbowPenaltyBase	Crossbow Base Penalty	hc5574731g874ag4d82gb4a0gba70af698168
LXDGM_CrossbowPenaltyBase_Description	Set the base Movement penalty of Crossbows when they are equipped.<br>Default : -92<br><font color=#ff0000>Require a game restart</font>	h5d420a72gb8cag4a08gb9ffg774da57dd2f7
LXDGM_CrossbowPenaltyGrowth	Crossbow Penalty Per Level	he6c2c979gd7a7g4926g9180g5d69e9d79d62
LXDGM_CrossbowPenaltyGrowth_Description	Set the Movement penalty of Crossbows growth per level.<br>Default : -8<br><font color=#ff0000>Require a game restart</font>	heb8111a8g1b89g4bf6gbf1age84937263ba2
LXDGM_FinesseCriticalChanceBonus	Finesse Critical Chance Bonus	hc8901962g28ceg4fd9g82c2ge28ef16abd5b
LXDGM_FinesseCriticalChanceBonus_Description	Default : 1<br><font color=#ff0000>Require a game restart</font>	h049f29acg76c5g4336ga831g3effd3b94d4e
LXDGM_FinesseGlobalDamageBonus	Finesse Global Damage Bonus	h7b1052abg9968g4acdgb399g989954144550
LXDGM_FinesseGlobalDamageBonus_Description	Default : 3	h19eab510gec8cg4d4fg92fag5918044ab001
LXDGM_FinesseMovementBonus	Finesse Movement Bonus	h5822708bgb172g42d7g8d1fg948980c9d8eb
