Key	Content	Handle
Target_HeavyAttack_DisplayName	Recklessness	
Target_AxeAttack_Description	Perform a heavy attack that deals [1]. If the target armour corresponding to the main damage of the axe is stripped, it also deals 8% of the user max Vitality (up to 75% of the damage done by the hit) as the main axe damage but also increases cooldown by 1 turn.	
Target_SwordCleave_DisplayName	Cleave	
Target_SwordCleave_Description	Perform a swipe cleaving all enemies within 3 meters of the target, dealing [1]. Each hit beyond the second character increases the cooldown by 1.	
Target_LX_MaceCrush_DisplayName	Crush Armor	
Target_LX_MaceCrush_Description	Strike the target to deal [1]. Deals an additional 80% of this hit as armor damage corresponding to the main damage type of the mace. If there is no armor before the hit, cooldown is reduced by 1 turn.	
Zone_LX_SpearAttack_DisplayName	Lightning Throw	
Zone_LX_SpearAttack_Description	Execute a long range thrust, dealing [1] over 8 meters. When hitting more than two characters, cooldown is increased by 1 turn for each additional hit.	
Shout_LX_WeaponArtSpear_DisplayName	Weapon art: Outstanding reach	
Shout_LX_WeaponArtSpear_Description	Increases the range of the next melee skill by 30% (rounded down)	
LX_WA_RANGEPLUS_DisplayName	Weapon art: Outstanding reach	
LX_WA_RANGEPLUS_Description	Increases the range of the next melee skill by 30% (rounded down)	
Shout_LX_WeaponArtAxe_DisplayName	Weapon art: Swift chop	
Shout_LX_WeaponArtAxe_Description	Increases the range of the next melee skill by 30% (rounded down)	
LX_WA_AXE_DisplayName	Weapon art: Swift chop	
LX_WA_AXE_Description	The next skill attack will consume turns of statuses dealing damage	
Shout_LX_WeaponArtTwoHanded_DisplayName	Weapon art: Two handed mastery	
Shout_LX_WeaponArtTwoHanded_Description	The next weapon skill AP cost increased by 1 and damage increased proportionnally. Cooldown reduced by 30% (rounded up)	
LX_WA_TWOHANDED_DisplayName	Weapon art: Two handed mastery	
LX_WA_TWOHANDED_Description	The next weapon skill AP cost increased by 1 and damage increased proportionnally. Cooldown reduced by 30% (rounded up)	
LX_WA_DUALWIELDING_DisplayName	Weapon art: Dual Wielding mastery	
LX_WA_DUALWIELDING_Description	Next weapon skill AP cost decreased by 1 and damage reduced proportionnally. Cooldown increased by 30% (rounded up)	
Shout_LX_WeaponArtDualWielding_DisplayName	Weapon art: Dual Wielding mastery	
Shout_LX_WeaponArtDualWielding_Description	Next weapon skill AP cost decreased by 1 and damage reduced proportionnally. Cooldown increased by 30% (rounded up)	
