Status	Key	Value	Source	GUID
OK	Accuracy_Description	Your chance to hit an enemy. On miss with a melee weapon, you trigger Warmup which increase your Accuracy and Movement (improved by Warfare), stackable up to 4 times.	Attributes.lsb	h2f00286fg98feg42abg84a5gb9d4fcce838e
OK	Damage_Description	The damage you inflict when successfully hitting an enemy or object.	Attributes.lsb	h278d3a4fg4dceg4362g9b35g9c3685c93268
OK	DynamicBonus		Attributes.lsb	hb924258ag2cf7g4c11gaf4eg8b7de303c197
OK	Finesse_Description	Increases all damage by [1]% per point. Dodge is increased by [2]% and Movement by [3]m per AP per point. Increase Accuracy bonus cap from Intelligence by [4]% and Critical Multiplier by [5]%.	Attributes.lsb	h75391bafg8744g4441g9b1egf52f182f96fc
OK	Intelligence_Description	Increases all damage by [1]% per point. Spell damage is further increased by [2]% and Accuracy by [3]% per point. Each point also increase Ingress by [4] and increase Wisdom bonus cap from Wits by [5].	Attributes.lsb	h6b67efcagf943g43a1g959eg36f9ecc42e7e
OK	Strength_Description	Increases all damage by [1]% per point. Damage dealt with martial weapons are further increased by [2]%. Increase Ingress bonus cap from Intelligence by [3]. Allows you to lift and carry heavier items.	Attributes.lsb	h18f97d5bg9a79g4917g809dgb0ac7a5ec302
OK	Wits_Description	Wits increase Critical Chance by [1]%, Initiative by [2], increases damage dealt status ticks by [3]% per point and your ability to detect traps and find hidden treasures. Increase Wisdom by [4]%, up to the cap set by Intelligence.	Attributes.lsb	h6d2cd8aeg4e09g4003ga57cg3fea3a0f5502
OK	Strength_Cap	(require more Strength to unlock full potential)	Attributes.lsb	
OK	Finesse_Cap	(require more Finesse to unlock full potential)	Attributes.lsb	
OK	Intelligence_Cap	(require more Intelligence to unlock the full potential)	Attributes.lsb	
OK	CriticalChance_Description	Your chance to Critically Strike when attacking with a weapon or when using a weapon-based skill. If you Backstab, your Critical Chance is converted to additional damage : for 1% of Critical Chance, you gain [1]% damage.	Attributes.lsb	h9df517d1gf64bg499dgb23fg462fd1f061bc
OK	Damage_DynamicTooltip	Total damage: [1]-[2]	Attributes.lsb	h7fec5db8g58d3g4abbgab7ag03e19b542bef
OK	Finesse_DynamicTooltip	+[1] point(s) = +[2]% to all Damage, +[3]% Dodge, +[4]m of movement per AP and +[5]% to Accuracy cap (given by Intelligence).	Attributes.lsb	h2e87e6cfg0183g4968g8ec1g325614c7d9fa
OK	Intelligence_DynamicTooltip	+[1] point(s) = +[2]% to all Damage, +[3]% more for skills, +[4]% Accuracy[5], Ingress by [6]% [7]and Wisdom cap from Wits by [8].	Attributes.lsb	h58e777ddgd569g4c0dg8f58gece56cce053d
OK	Intelligence_SkillDamageTooltip	Spells gets a bonus of +[1]% from Intelligence	Attributes.lsb	hf338b2c0gd158g49b4ga2ceg15a7099a4b7b
OK	MagicArmourBypassReduction_Tooltip	Reduce damage going through Magic Armour by [1]%	Attributes.lsb	h2ce13614gab6cg4878gb781gcb3186a8ead9
OK	Strength_DynamicTooltip	+[1] point(s) = +[2]% to all Damage and +[3]% more for weapon-based attacks and +[4]% to Ingress cap (given by Intelligence).	Attributes.lsb	he1708d1eg243dg4b72g8f48gddb9bc8d62ff
OK	Wits_DynamicTooltip	+[1] point(s) = +[2]% Critical Chance, +[3] Initiative, +[4]% damage done by harmful statuses and +[5] Wisdom[6].	Attributes.lsb	ha422c4f4ge2bbg4cbcgbbf3g505c7ce673d1
OK	DualWielding_Description	Dual-Wielding increases damage and Dodging when wielding two Single-Handed weapons.	CombatAbilities.lsb	h768669d0g02adg48f7g901eg83068a96bf19
OK	DualWielding_Displayname	Dual-Wielding	CombatAbilities.lsb	h03d68693g35e7g4721ga1b3g9f9882f08b12
Delete	DualWielding_OffhandBonusTooltip	Offhand bonus: [1]% (high ability nullify the base penalty)	CombatAbilities.lsb	h8b09bd1cg68deg4987g9494g540c9d948538
Delete	DualWielding_Penalty	Offhand penalty: [1]%	CombatAbilities.lsb	he3980bf8gf554g4dd8g823cgf2ccb71036a6
Delete	DualWielding_PenaltyTooltip	Offhand penalty: [1]% (penalty reduced by [2]% from Dual-Wielding)	CombatAbilities.lsb	h092684e6gbf69g4372g99f8g4743516b0efe
Delete	DualWielding_TooltipCurrent	Level [1]: +[2]% Damage, +[3]% Dodging and increase Offhand damage by [4]%.	CombatAbilities.lsb	hc5d5552bg6b33g44c1gbb0cg8d55a101f081
Delete	DualWielding_TooltipNext	Next Level [1]: +[2]% Damage, +[3]% Dodging and increase Offhand damage by [4]%.	CombatAbilities.lsb	h2baa6ed9gdca0g4731gb999g098d9c2d90b0
OK	Hydrosophist_TooltipCurrent	Level [1]: Water attacks deal +[2]% more damage, +[3]% Vitality healed, +[4]% Magic Armour from skills and potions.	CombatAbilities.lsb	hc4400964gcf4bg429cg882cg9e90ba8cf0ce
OK	Hydrosophist_TooltipNext	Next Level [1]: Water attacks deal +[2]% more damage, +[3]% Vitality healed, +[4]% Magic Armour from skills and potions.	CombatAbilities.lsb	h0a8b0b59g5da9g483fg86a3g59afce30dbb7
OK	Leadership_Description	[1] grants Dodging and Resistance bonuses to all allies in a 16m radius.	CombatAbilities.lsb	h8256bf13gb4cag4662gaafegb5724b210c92
OK	Perseverance_Description	Recovers armour passively at the start of every turn. This effect cannot be shared and is not affected by healing modifiers. This effect is disabled while under the effects of crowd control. Also increase maximum armours and provide the same amount on resurrection.	CombatAbilities.lsb	h1bae56a9ga45fg431fg80bfg2afbef03c1d2
OK	Perseverance_TooltipCurrent	Level [1]: Recover [2] Armour every turn and increase maximum armours by [3].	CombatAbilities.lsb	h5d0c3ad0g3d9dg4cf1g92b7g20d6d7d26344
OK	Perseverance_TooltipNext	Next Level [1]: Recover [2] Armour every turn and increase maximum armours by [3].	CombatAbilities.lsb	h443a51dcgbd6fg46c2g8988gbfe93a3123a5
OK	Ranged_Description	Ranged increases damage and Critical Chance when using bows and crossbows. Also increases the range when wielding a bow, crossbow or wand(s) up to 2 meters.	CombatAbilities.lsb	h54f2ea13g97dbg4b86g9d13geeb81186faca
OK	Ranged_TooltipCurrent	Level [1]: +[2]% Damage, +[3]% Critical Chance and increase Range by [4]m.	CombatAbilities.lsb	he86bfd28ge123g42a4g8c0cg2f9bcd7d9e05
OK	Ranged_TooltipNext	Next Level [1]: +[2]% Damage, +[3]% Critical Chance and increase Range by [4]m.	CombatAbilities.lsb	hffc37ae5g6651g4a60ga1c1g49d233cb1ca2
OK	RangedWeapons_DynamicTooltip	Receive a [1]% Damage penalty if the target is closer than [2] meters	CombatAbilities.lsb	h3e8d0f43g5060g48d8g95cag541abe3a7c08
