new entry "Cone_Shatter"
type "SkillData"
data "SkillType" "Cone"
data "ForGameMaster" "Yes"
data "Ability" "Water"
data "Tier" "Adept"
data "ActionPoints" "4"
data "Cooldown" "6"
data "Damage Multiplier" "150"
data "Damage Range" "10"
data "DamageType" "Water"
data "SkillProperties" "EXT:VP_TryKill,0,0,200/ALD/100/FROZEN/200/0/0/;"
data "Range" "8"
data "Angle" "60"
data "DeathType" "FrozenShatter"
data "SurfaceType" "WaterFrozen"
data "SurfaceStatusChance" "100"
data "SurfaceGrowStep" "4"
data "SurfaceGrowInterval" "15"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "No"
data "Icon" "Skill_Water_Shatter"
data "DisplayName" "Cone_Shatter_DisplayName"
data "DisplayNameRef" "|Deep Freeze|"
data "Description" "Cone_Shatter_Description"
data "DescriptionRef" "|Characters in the cone that are Frozen and below 50% Vitality shatter and instantly die. Otherwise they receive [1] damage and get Frozen.|"
data "StatsDescriptionParams" "Damage"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01_Snow,KeepRot;RS3_FX_Skills_Water_Prepare_Water_Hand_01_Snow:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_cone_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_Cone_Air_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX;RS3_FX_Skills_Water_Cast_Cone_Air_Root_01:Dummy_Root:cast;RS3_FX_Skills_Water_Cast_Cone_Air_Dummy_01:Dummy_CastFX:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "WaterSpecialist 3"
data "BackStart" "8"
data "CycleConditions" "Enemy"
