new entry "LX_FROSTBITE"
type "StatusData"
data "StatusType" "DAMAGE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "LX_FROSTBITE_DisplayName"
data "DisplayNameRef" "Frostbite"
data "Description" "LX_FROSTBITE_Description"
data "DescriptionRef" "Deals [1] damage per turn. Effectiveness increased by 25% if reapplied from Chilled, or by 100% if reapplied from Frozen."
data "DescriptionParams" "Damage"
data "Icon" "Skill_Water_Slow"
data "FormatColor" "Water"
data "StatusEffect" ""
data "StatusEffectOverrideForItems" ""
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "No"
data "MaterialFadeAmount" "2000"
data "MaterialOverlayOffset" "10000"
data "SavingThrow" "MagicArmor"
data "ImmuneFlag" "ChilledImmunity"
data "StatsId" "Stats_LX_Frostbite"
data "StackId" "Stack_LX_Frostbite"
data "DamageEvent" "OnTurn"
data "DamageStats" "Damage_LX_Frostbite"
data "DeathType" "DoT"
data "DamageCharacters" "Yes"
data "DamageItems" "Yes"
data "DamageTorches" "No"
data "SpawnBlood" "No"
