new entry "Storm_Ethereal"
type "SkillData"
data "SkillType" "Storm"
data "ForGameMaster" "Yes"
data "Ability" "Summoning"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "5"
data "TargetRadius" "17"
data "AreaRadius" "10"
data "TargetConditions" "NonSelf;Enemy"
data "OverrideSkillLevel" "No"
data "DeathType" "Explode"
data "HitRadius" "1"
data "Lifetime" "2"
data "MinHitsPerTurn" "10"
data "MaxHitsPerTurn" "10"
data "HitDelay" "0"
data "MemorizationRequirements" "Summoning 5"
data "Icon" "Skill_Summoning_EtherealStorm"
data "DisplayName" "Storm_Ethereal_DisplayName"
data "DisplayNameRef" "|Ethereal Storm|"
data "Description" "Storm_Ethereal_Description"
data "DescriptionRef" "|Unpredictable projectiles from distant planes strike down in target area, dealing random elemental damage.|"
data "FXScale" "120"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Void_EtherealStorm_Prepare_Root_01:root;RS3_FX_Skills_Void_EtherealStorm_Prepare_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand01;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand02"
data "CastAnimation" "skill_cast_aoe_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Void_Cast_AoE_Air_EtherealStorm_Root_01,KeepRot:Dummy_BodyFX:cast"
data "TargetEffect" "RS3_FX_Skills_Air_Target_Lightning_01"
data "StormEffect" "RS3_FX_Skills_Void_EtherealStorm_EnviroFX_01"
data "Memory Cost" "3"
data "Magic Cost" "2"
data "ProjectileSkills" "ProjectileStrike_Stormbolt_Fire;ProjectileStrike_Stormbolt_Water;ProjectileStrike_Stormbolt_Ice;ProjectileStrike_Stormbolt_Oil;ProjectileStrike_Stormbolt_Poison"
data "CycleConditions" "Enemy;!Dead"

