new entry "LX_FOOD_POISONED"
type "StatusData"
data "StatusType" "DAMAGE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "LX_FOOD_POISONED_DisplayName"
data "DisplayNameRef" "Food Poisoning"
data "Description" "LX_FOOD_POISONED_Description"
data "DescriptionRef" "Deals [1] damage each turn."
data "DescriptionParams" "Damage"
data "Icon" "statIcons_Poison"
data "FormatColor" "Poison"
data "StatusEffect" "RS3_FX_GP_Status_Poisoned_01:Dummy_StatusFX"
data "StatusEffectOverrideForItems" "RS3_FX_GP_Status_Item_Poisoned_01"
data "StatusEffectOnTurn" "RS3_FX_GP_Status_Poisoned_DoT_01"
data "MaterialType" "Overlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "No"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "Yes"
data "ImmuneFlag" "PoisonImmunity"
data "StatsId" "Stats_Poisoned"
data "StackId" "Stack_Poisoned"
data "DamageEvent" "OnTurn"
data "DamageStats" "Damage_Food_Poisoned"
data "DeathType" "Acid"
data "DamageCharacters" "Yes"
data "DamageItems" "No"
data "DamageTorches" "No"
data "PermanentOnTorch" "No"
data "SpawnBlood" "No"

